Name_EN,Nom_FR,SubClass_EN,SousClasse_FR,PharmacologicalClass_EN,ClassePharmacologique_FR,Act,Schedule,Item,Subitem,Line,Subline
Dicyclomine,Dicyclomine,"Other (drugs) prescription, otc, or illicit","Autres (drogues) de prescription, en vente libre ou illicites",Other,Autre,OT,,,,,
"α-methyl-1,3-Benzodioxole-5-propanal","α-méthyl-1,3-Benzodioxole-5-propanal",Precursors / key intermediates / reagents  ,Précurseurs / intermédiaires clés / Réactifs,Other,Autre,OT,,,,,
N-Isopropylbenzylamine,N-isopropylbenzylamine,Cutting agents,Agents de coupe,Other,Autre,OT,,,,,
1-Phenyl-1-cyclohexene,Phényl-1 cyclohexène-1,Precursors / key intermediates / reagents  ,Précurseurs / intermédiaires clés / Réactifs,Other,Autre,OT,,,,,
Aminorex,Aminorex,Other stimulants,Autres stimulants,Stimulants,Stimulants,CD,III,27,,,
Cathine,Cathine,Phenethylamines (stimulant),Phénéthylamines (stimulant),Stimulants,Stimulants,CD,III,19,,,
Fencamfamin,Fencamfamine,Other stimulants,Autres stimulants,Stimulants,Stimulants,CD,IV,20,,,
Fenetylline,Fénétylline,Amphetamines / methamphetamines,Amphétamines / méthamphétamines,Stimulants,Stimulants,CD,III,20,,,
Ethylphenidate,Éthylphénidate,Arylpiperidines & benzylpiperidines,Arylpipéridines & benzylpipéridines,Stimulants,Stimulants,CD,III,2,,1,
Mazindol,Mazindol,Other stimulants,Autres stimulants,Stimulants,Stimulants,CD,IV,15,,,
Methylphenidate,Méthylphénidate,Arylpiperidines & benzylpiperidines,Arylpipéridines & benzylpipéridines,Stimulants,Stimulants,CD,III,2,,,
Orphenadrine,Orphénadrine,Muscle relaxants,Relaxants musculaires,Other,Autre,OT,,,,,
 [1-(5-fluoropentyl)-1H-indol-3-yl]-1-naphthalenyl-methanone,[1-(5-fluoropentyl)-1H-indol-3-yl]-1-naphthalènyl-méthanone,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,CD,II,1,,,
"(1-(5-fluoropentyl)-1H-indol-3-yl)(2,2,3,3-tetramethylcyclopropyl)methanone","(1-(5-fluoropentyl)-1H-indol-3-yl)(2,2,3,3-tétraméthylcyclopropyl)méthanone",Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,CD,II,,,,
"(1-(5-fluoropentyl)-1H-indol-3-yl)(2,2,3,3-tetramethylcyclopropyl)-methanone","(1-(5-fluoropentyl)-1H-indol-3-yl)(2,2,3,3-tétraméthylcyclopropyl)-méthanone",Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,CD,II,2,,6,ii
"(1-Pentyl-1H-indazol-3-yl)(2,2,3,3-tetramethylcyclopropyl)methanone","(1-Pentyl-1H-indazol-3-yl)(2,2,3,3-tetramethylcyclopropyl)methanone",Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
(1-pentyl-1H-indazol-3-yl)(piperazin-1-yl)methanone,(1-pentyl-1H-indazol-3-yl)(piperazin-1-yl)methanone,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
